group,variant,n,words_mean,tells_per_1k,tells_per_1k_median,em_dash_per_1k,neg_parallel_per_1k,triad_per_1k,signpost_per_1k,self_clap_per_1k,filler_transition_per_1k,slop_words_per_1k,bold_label_per_1k,participial_tail_per_1k,closing_recap_per_1k,md_structure_per_1k,sent_mean,pct_10w_band,staccato_share
astra,bare,9,289,21.5,23.5,4.22,1.15,8.83,0.0,0.0,0.38,0.0,5.76,0.77,0.38,12.28,14.4,0.6,0.02
sol,bare,9,286,21.4,22.2,7.38,1.94,8.15,0.78,0.0,0.78,1.16,0.39,0.0,0.78,13.59,14.4,0.55,0.03
fable,bare,9,493,14.2,13.9,6.76,1.58,2.48,0.68,0.23,0.0,0.23,1.8,0.45,0.0,14.42,14.8,0.45,0.06
opus,bare,9,495,20.0,19.3,7.63,1.35,0.9,0.45,0.22,0.0,0.45,8.98,0.0,0.0,20.88,15.6,0.55,0.03
grok,bare,9,341,23.2,24.3,8.16,1.96,10.44,0.65,0.0,0.0,0.33,0.98,0.65,0.0,9.79,13.2,0.54,0.07
terra,bare,9,324,18.2,17.3,7.54,2.06,5.48,1.03,0.0,0.0,0.69,1.03,0.34,0.0,20.21,14.0,0.53,0.06
luna,bare,9,320,17.0,16.7,5.22,1.39,5.91,0.7,0.0,0.0,1.39,1.04,1.39,0.0,18.78,16.2,0.53,0.02
muse,bare,9,303,25.7,24.5,10.65,1.1,3.67,0.73,0.0,0.0,0.73,8.08,0.73,0.0,19.09,12.2,0.57,0.1
kimi,bare,9,404,22.8,21.2,14.31,1.1,2.2,0.83,0.0,0.28,0.0,3.03,1.1,0.0,22.01,13.0,0.56,0.09
gemini38,bare,9,388,24.6,24.8,5.44,0.57,4.58,0.29,0.0,0.57,3.44,6.87,2.86,0.0,16.9,16.0,0.42,0.06
glm,bare,9,437,23.4,28.1,15.51,1.27,3.05,0.76,0.0,0.0,0.51,1.78,0.51,0.0,18.06,13.2,0.5,0.09
qwen,bare,9,338,23.7,27.0,7.56,0.99,11.18,0.33,0.0,0.0,0.66,2.3,0.66,0.0,17.75,15.2,0.57,0.04
astra,steered,9,271,8.2,7.7,0.0,0.41,5.33,0.0,0.0,0.41,0.0,0.0,1.64,0.41,0.0,13.8,0.55,0.01
sol,steered,9,270,12.0,12.1,0.0,0.82,9.07,0.0,0.0,0.0,0.82,0.0,0.82,0.41,0.0,14.1,0.56,0.0
fable,steered,9,505,4.2,2.0,0.0,0.22,2.64,0.66,0.0,0.22,0.0,0.0,0.44,0.0,0.0,15.3,0.46,0.03
opus,steered,9,511,3.5,2.1,0.0,0.44,1.96,0.44,0.44,0.0,0.0,0.0,0.22,0.0,0.0,15.8,0.44,0.02
grok,steered,9,294,3.4,2.9,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.51,0.04
human,control,15,309,6.9,4.0,3.24,0.65,1.08,0.0,0.0,0.86,0.65,0.0,0.43,0.0,24.17,12.7,0.55,0.02
