model,harness,fixed_of_45,partial,claimed_only,genuine_extras,false_positive_fixes,wall_min,cost_usd_list_equiv
GPT-5.6 Sol,Codex CLI,13,1,1,9,0,21.9,10.76
Opus 5,Claude Code,11,0,0,1,0,17.4,15.89
Fable 5,Claude Code,9,0,1,2,0,14.9,36.42
Grok 4.5,Grok Build CLI (ACP),5,0,2,2,0,16.5,
Kimi K3,Claude Code / OpenRouter,4,0,3,0,0,62.3,9.42
Opus 4.8,Claude Code,2,0,0,0,0,17.4,10.67
Sonnet 5,Claude Code,1,0,0,0,0,16.4,8.94
GPT-5.6 Sol (re-run Jul 31),Codex CLI,13,1,0,9,0,37.1,19.56
GPT-5.6 Luna (max effort),Codex CLI,17,1,0,14,0,21.5,0.4
GPT-5.6 Luna (high effort),Codex CLI,5,1,0,12,0,51.1,0.32
DeepSeek V4-Flash,Claude Code / OpenRouter,4,0,0,2,0,9.4,0.21
GPT-5.6 Sol (max effort),Codex CLI,19,0,0,21,0,84.2,32.53
Fable 5 (max effort),Claude Code,12,0,0,1,0,24.4,38.88
Opus 5 (max effort),Claude Code,13,0,2,1,0,33.8,24.78
Grok 4.5 (max effort),Grok Build CLI (ACP),5,1,1,1,0,14.2,6.52
DeepSeek V4-Flash 0731,Claude Code / OpenRouter,6,0,1,0,0,17.8,0.6
DeepSeek V4-Pro,Claude Code / OpenRouter,5,0,1,0,0,13.0,0.71
