model,harness,fixed_of_60,partial,claimed_only,genuine_extras,false_positive_fixes,wall_min,cost_usd_list_equiv
GPT-5.6 Sol,Codex CLI,18,3,0,29,0,48.3,18.4
Kimi K3,Claude Code / OpenRouter,17,0,3,6,0,45.5,15.84
Fable 5,Claude Code,15,0,0,1,0,16.5,31.66
Grok 4.5,Grok Build CLI (ACP),11,1,1,5,0,8.4,2.58
Opus 5,Claude Code,10,0,3,5,0,20.0,22.88
Sonnet 5,Claude Code,8,0,0,4,0,16.4,6.18
Opus 4.8,Claude Code,7,1,0,1,0,17.4,8.68
GPT-5.6 Sol (re-run Jul 31),Codex CLI,21,3,0,19,0,29.5,14.36
GPT-5.6 Luna (max effort),Codex CLI,16,3,0,17,0,64.3,1.4
GPT-5.6 Luna (high effort),Codex CLI,8,1,0,10,0,13.0,0.25
DeepSeek V4-Flash,Claude Code / OpenRouter,4,1,0,2,0,15.5,0.39
