arm,question,total_s,fresh_in_tok,cached_in_tok,cache_write_tok,out_tok,cost_usd,answer_chars,ok
opus5-high,1,8.92,2,16922,14028,203,0.101221,601,True
luna-max,1,38.09,9778,3840,0,123,0.00218,299,True
opus5-max,1,8.15,2,0,30949,200,0.198441,575,True
luna-high-fast,1,16.77,4215,9984,0,65,0.001121,319,True
luna-high,1,15.99,4215,9984,0,61,0.001116,322,True
luna-max-fast,1,15.73,4215,9984,0,112,0.001177,301,True
luna-max,2,22.57,4210,9984,0,57,0.00111,326,True
opus5-max,2,9.82,2,16922,14023,211,0.10139,659,True
luna-high-fast,2,20.62,4210,9984,0,98,0.001159,359,True
luna-high,2,13.02,4210,9984,0,55,0.001108,315,True
luna-max-fast,2,13.98,4210,9984,0,141,0.001211,370,True
opus5-high,2,8.0,2,16922,14020,195,0.100971,643,True
opus5-max,3,7.69,2,16922,14042,174,0.100583,473,True
luna-high-fast,3,24.97,1148,13056,0,109,0.000622,253,True
luna-high,3,23.37,4220,9984,0,106,0.001171,230,True
luna-max-fast,3,31.85,4220,9984,0,196,0.001279,234,True
opus5-high,3,8.1,2,16922,14038,139,0.099684,402,True
luna-max,3,27.81,4220,9984,0,211,0.001297,225,True
luna-high-fast,4,14.29,4213,9984,0,63,0.001118,324,True
luna-high,4,14.3,4213,9984,0,66,0.001121,335,True
luna-max-fast,4,15.18,4213,9984,0,127,0.001195,316,True
opus5-high,4,7.75,2,16922,14029,190,0.100902,615,True
luna-max,4,15.18,117,14080,0,102,0.000427,353,True
opus5-max,4,8.55,2,16922,14024,214,0.101471,678,True
luna-high,5,20.63,4218,9984,0,57,0.001112,306,True
luna-max-fast,5,16.97,1146,13056,0,101,0.000612,339,True
opus5-high,5,8.35,2,16922,14030,208,0.101359,672,True
luna-max,5,15.49,1146,13056,0,103,0.000614,315,True
opus5-max,5,8.84,2,16922,14031,243,0.10224,775,True
luna-high-fast,5,13.1,4218,9984,0,64,0.00112,347,True
