arm,session,turn,total_s,reported_in_tok,reported_cached_in,reported_out_tok,usage_semantics,per_turn_fresh_in,per_turn_cached_in,per_turn_out,per_turn_cost_usd
opus5-high,1,1,8.8,16924,16922,212,per-request,2,16922,212,0.101408
opus5-high,1,2,8.5,30946,30944,185,per-request,2,30944,185,0.028863
opus5-high,1,3,12.8,32347,32345,145,per-request,2,32345,145,0.024695
opus5-high,1,4,10.5,33129,33127,204,per-request,2,33127,204,0.025555
opus5-high,1,5,10.1,33750,33748,209,per-request,2,33748,209,0.025646
opus5-high,1,6,8.8,34316,34314,182,per-request,2,34314,182,0.023392
opus5-high,2,1,9.0,16924,16922,201,per-request,2,16922,201,0.101077
opus5-high,2,2,8.6,30937,30935,161,per-request,2,30935,161,0.02819
opus5-high,2,3,13.5,32327,32325,123,per-request,2,32325,123,0.023985
opus5-high,2,4,8.9,33085,33083,182,per-request,2,33083,182,0.024333
opus5-high,2,5,10.1,33602,33600,244,per-request,2,33600,244,0.024479
opus5-high,2,6,12.9,33853,33851,163,per-request,2,33851,163,0.022904
opus5-high,3,1,9.5,16924,16922,208,per-request,2,16922,208,0.101283
opus5-high,3,2,8.2,30942,30940,146,per-request,2,30940,146,0.027861
opus5-high,3,3,10.1,32339,32337,104,per-request,2,32337,104,0.02016
opus5-high,3,4,9.4,32560,32558,201,per-request,2,32558,201,0.022345
opus5-high,3,5,10.3,32725,32723,240,per-request,2,32723,240,0.024059
opus5-high,3,6,19.9,32995,32993,169,per-request,2,32993,169,0.027213
opus5-max,1,1,13.6,16924,16922,205,per-request,2,16922,205,0.101221
opus5-max,1,2,9.8,30944,30942,200,per-request,2,30942,200,0.029194
opus5-max,1,3,11.9,32338,32336,151,per-request,2,32336,151,0.021672
opus5-max,1,4,10.0,32613,32611,235,per-request,2,32611,235,0.023516
opus5-max,1,5,8.4,32825,32823,190,per-request,2,32823,190,0.027684
opus5-max,1,6,10.2,33867,33865,164,per-request,2,33865,164,0.028524
opus5-max,2,1,13.2,16924,16922,218,per-request,2,16922,218,0.101496
opus5-max,2,2,9.9,30936,30934,208,per-request,2,30934,208,0.029471
opus5-max,2,3,8.7,32343,32341,136,per-request,2,32341,136,0.025962
opus5-max,2,4,9.5,33364,33362,209,per-request,2,33362,209,0.023147
opus5-max,2,5,11.7,33561,33559,384,per-request,2,33559,384,0.029958
opus5-max,2,6,9.0,34132,34130,185,per-request,2,34130,185,0.029081
opus5-max,3,1,8.7,16924,16922,229,per-request,2,16922,229,0.10179
opus5-max,3,2,8.2,30939,30937,186,per-request,2,30937,186,0.027778
opus5-max,3,3,9.4,32163,32161,224,per-request,2,32161,224,0.027059
opus5-max,3,4,9.0,33022,33020,210,per-request,2,33020,210,0.027883
opus5-max,3,5,25.9,34000,33998,200,per-request,2,33998,200,0.028365
opus5-max,3,6,13.1,35017,35015,173,per-request,2,35015,173,0.029386
luna-high,1,1,20.3,14199,9984,67,cumulative,4215,9984,67,0.001123
luna-high,1,2,11.9,28667,24064,117,cumulative,388,14080,50,0.000419
luna-high,1,3,41.7,43241,38144,223,cumulative,494,14080,106,0.000508
luna-high,1,4,18.1,57970,52224,285,cumulative,649,14080,62,0.000486
luna-high,1,5,13.5,72815,66304,341,cumulative,765,14080,56,0.000502
luna-high,1,6,18.3,87764,80384,393,cumulative,869,14080,52,0.000518
luna-high,2,1,21.8,14199,9984,58,cumulative,4215,9984,58,0.001112
luna-high,2,2,33.9,28658,24064,153,cumulative,379,14080,95,0.000471
luna-high,2,3,10.6,43268,34048,285,cumulative,4626,9984,132,0.001283
luna-high,2,4,22.8,58059,48128,348,cumulative,711,14080,63,0.000499
luna-high,2,5,15.6,72967,62208,412,cumulative,828,14080,64,0.000524
luna-high,2,6,40.4,88136,62208,464,cumulative,15169,0,52,0.003096
luna-high,3,1,28.4,14199,9984,59,cumulative,4215,9984,59,0.001113
luna-high,3,2,13.4,28659,19968,158,cumulative,4476,9984,99,0.001214
luna-high,3,3,11.7,43274,34048,280,cumulative,535,14080,122,0.000535
luna-high,3,4,12.5,58060,48128,343,cumulative,706,14080,63,0.000498
luna-high,3,5,24.2,72963,62208,409,cumulative,823,14080,66,0.000525
luna-high,3,6,10.9,87980,76288,458,cumulative,937,14080,49,0.000528
luna-max,1,1,21.2,14199,9984,114,cumulative,4215,9984,114,0.001179
luna-max,1,2,16.2,28714,24064,230,cumulative,435,14080,116,0.000508
luna-max,1,3,25.3,43401,38144,375,cumulative,607,14080,145,0.000577
luna-max,1,4,15.3,58282,52224,490,cumulative,801,14080,115,0.00058
luna-max,1,5,12.8,73332,66304,598,cumulative,970,14080,108,0.000605
luna-max,1,6,19.3,88538,80384,702,cumulative,1126,14080,104,0.000632
luna-max,2,1,15.9,14199,9984,56,cumulative,4215,9984,56,0.00111
luna-max,2,2,15.6,28656,19968,165,cumulative,4473,9984,109,0.001225
luna-max,2,3,23.0,43278,34048,399,cumulative,542,14080,234,0.000671
luna-max,2,4,17.0,58183,48128,517,cumulative,825,14080,118,0.000588
luna-max,2,5,12.9,73260,62208,648,cumulative,997,14080,131,0.000638
luna-max,2,6,17.2,88516,76288,772,cumulative,1176,14080,124,0.000666
luna-max,3,1,19.1,14199,9984,59,cumulative,4215,9984,59,0.001113
luna-max,3,2,15.8,28659,24064,172,cumulative,380,14080,113,0.000493
luna-max,3,3,72.6,43288,38144,338,cumulative,549,14080,166,0.000591
luna-max,3,4,11.9,58132,52224,464,cumulative,764,14080,126,0.000586
luna-max,3,5,19.0,73156,66304,560,cumulative,944,14080,96,0.000586
luna-max,3,6,23.4,88324,80384,610,cumulative,1088,14080,50,0.000559
